shipment_id,event_time,origin_city,destination_city,vehicle_id,route_id,shipment_status,delay_minutes,distance_km,eta_minutes
SHP001,2025-12-15T07:30:00,Kolkata,Durgapur,VEH101,RTE01,CREATED,0,171.0,210
SHP002,2025-12-15T07:31:00,Kolkata,Kharagpur,VEH102,RTE02,IN_TRANSIT,0,116.0,165
SHP003,2025-12-15T07:32:00,Delhi,Gurugram,VEH201,RTE03,OUT_FOR_DELIVERY,0,32.0,55
SHP004,2025-12-15T07:33:00,Mumbai,Pune,VEH301,RTE04,IN_TRANSIT,0,149.0,185
SHP005,2025-12-15T07:34:00,Chennai,Vellore,VEH401,RTE05,DELAYED,18,138.0,190
SHP006,2025-12-15T07:35:00,Bengaluru,Mysuru,VEH402,RTE06,IN_TRANSIT,0,143.0,175
SHP007,2025-12-15T07:36:00,Hyderabad,Warangal,VEH501,RTE07,DELAYED,26,148.0,200
SHP008,2025-12-15T07:37:00,Ahmedabad,Vadodara,VEH601,RTE08,OUT_FOR_DELIVERY,0,111.0,140
SHP009,2025-12-15T07:38:00,Jaipur,Ajmer,VEH701,RTE09,IN_TRANSIT,0,135.0,170
SHP010,2025-12-15T07:39:00,Lucknow,Kanpur,VEH801,RTE10,DELAYED,35,90.0,140
SHP011,2025-12-15T07:40:00,Pune,Mumbai,VEH302,RTE04,IN_TRANSIT,0,149.0,190
SHP012,2025-12-15T07:41:00,Gurugram,Delhi,VEH202,RTE03,DELIVERED,0,32.0,60
SHP013,2025-12-15T07:42:00,Kharagpur,Kolkata,VEH103,RTE02,DELAYED,22,116.0,175
SHP014,2025-12-15T07:43:00,Durgapur,Kolkata,VEH104,RTE01,IN_TRANSIT,0,171.0,220
SHP015,2025-12-15T07:44:00,Vadodara,Ahmedabad,VEH602,RTE08,DELIVERED,0,111.0,150
SHP016,2025-12-15T07:45:00,Mysuru,Bengaluru,VEH403,RTE06,OUT_FOR_DELIVERY,0,143.0,180
SHP017,2025-12-15T07:46:00,Vellore,Chennai,VEH405,RTE05,DELAYED,14,138.0,195
SHP018,2025-12-15T07:47:00,Ajmer,Jaipur,VEH702,RTE09,DELIVERED,0,135.0,175
SHP019,2025-12-15T07:48:00,Kanpur,Lucknow,VEH802,RTE10,IN_TRANSIT,0,90.0,135
SHP020,2025-12-15T07:49:00,Warangal,Hyderabad,VEH502,RTE07,DELIVERED,0,148.0,205
